id,uptodate,state,race_id_last_race,date_last_race,name,country,age,color,owner,sire,dam,dam_sire,sex,Total_races,Wins,Percentage_wins,placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
105931,2025-08-25,Active,183509,2025-08-26,Plastic Paddy,GB,7,bay,Stephen Mcguinness,Buratino (IRE),Bereka (UK),Firebreak (UK),gelding,44.0,7.0,15.91%,13.0,29.55%,36.0,7.0,19.44%,11.0,30.56%,8.0,0.0,0.00%,2.0,25.00%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
106417,2025-08-25,Active,183510,2025-08-26,Pinball Wizard,IRE,7,bay,Donal Mcardle/John Mcconnell Partnership,Dark Angel (IRE),Alsalwa (IRE),Nayef (USA),gelding,51.0,5.0,9.80%,16.0,31.37%,24.0,4.0,16.67%,7.0,29.17%,26.0,1.0,3.85%,9.0,34.62%,0.0,0.0,0%,0.0,0%,1.0,0.0,0.00%,0.0,0%
106497,2025-08-25,Active,183491,2025-08-26,Pablo Prince,GB,7,bay,Littleoak Racing,Outstrip (UK),French Accent (UK),Elnadim (USA),gelding,37.0,4.0,10.81%,10.0,27.03%,32.0,4.0,12.50%,9.0,28.13%,5.0,0.0,0.00%,1.0,20.00%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
109105,2025-08-25,Active,183504,2025-08-26,Golden Rainbow,GB,6,bay,Holmfirth Racing,Havana Gold (IRE),Stereophonic (IRE),Acclamation (UK),gelding,52.0,8.0,15.38%,12.0,23.08%,25.0,5.0,20.00%,6.0,24.00%,27.0,3.0,11.11%,6.0,22.22%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
110033,2025-08-25,Active,183495,2025-08-26,Mary Of Modena,GB,6,bay,Haxted Racing,Bated Breath (UK),Miss Chicane (UK),Refuse To Bend (IRE),filly,32.0,6.0,18.75%,8.0,25.00%,7.0,0.0,0.00%,2.0,28.57%,25.0,6.0,24.00%,6.0,24.00%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
110356,2025-08-25,Active,183515,2025-08-26,Arch Enemy,IRE,6,g,Black Steel Square Syndicate,Alhebayeb (IRE),Pointed Arch (IRE),Rock Of Gibraltar (IRE),mare,36.0,4.0,11.11%,12.0,33.33%,1.0,0.0,0.00%,0.0,0%,28.0,3.0,10.71%,10.0,35.71%,0.0,0.0,0%,0.0,0%,7.0,1.0,14.29%,2.0,28.57%
110450,2025-08-25,Active,183494,2025-08-26,Ernies Valentine,GB,6,grey,The Bumblebees And Partners,Havana Gold (IRE),Eastern Destiny (UK),Dubai Destination (USA),gelding,41.0,6.0,14.63%,6.0,14.63%,24.0,5.0,20.83%,3.0,12.50%,17.0,1.0,5.88%,3.0,17.65%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
110823,2025-08-25,Active,183491,2025-08-26,Nasim,GB,6,chestnut,M I Pattinson Racing,Galileo Gold (UK),Ashwaq (UK),Sepoy (AUS),gelding,43.0,4.0,9.30%,10.0,23.26%,31.0,3.0,9.68%,9.0,29.03%,11.0,1.0,9.09%,1.0,9.09%,1.0,0.0,0.00%,0.0,0%,0.0,0.0,0%,0.0,0%
112246,2025-08-25,Active,183500,2025-08-26,Pisanello,IRE,8,bay,Trendy Ladies,Raven's Pass (USA),Painting (IRE),Peintre Celebre (USA),gelding,42.0,4.0,9.52%,14.0,33.33%,1.0,0.0,0.00%,1.0,100.00%,41.0,4.0,9.76%,13.0,31.71%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
112988,2025-08-25,Active,183513,2025-08-26,Aurora Nova,IRE,6,bay,Dreams Of Glory Racing Syndicate,Holy Roman Emperor (IRE),Novat (IRE),Tagula (IRE),mare,29.0,4.0,13.79%,7.0,24.14%,4.0,0.0,0.00%,2.0,50.00%,25.0,4.0,16.00%,5.0,20.00%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
