Trainer_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
75,2025-08-25,W P Mullins,12547,3207,25.56%,4158,33.14%,60,4,6.67%,10,16.67%,2818,745,26.44%,1046,37.12%,3468,870,25.09%,1005,28.98%,6201,1588,25.61%,2097,33.82%
76,2025-08-25,L Whitmore,176,13,7.39%,34,19.32%,0,0,0%,0,0%,2,0,0%,0,0%,81,7,8.64%,17,20.99%,93,6,6.45%,17,18.28%
77,2025-08-25,Mrs J Harrington,10094,1113,11.03%,3418,33.86%,744,61,8.20%,230,30.91%,6073,672,11.07%,2071,34.10%,928,129,13.90%,339,36.53%,2349,251,10.69%,778,33.12%
78,2025-08-25,T G O'Leary,4,0,0%,1,25.00%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,4,0,0%,1,25.00%
79,2025-08-25,C F Swan,935,91,9.73%,259,27.70%,107,15,14.02%,34,31.78%,265,30,11.32%,72,27.17%,167,13,7.78%,39,23.35%,396,33,8.33%,114,28.79%
80,2025-08-25,J J Lennon,3,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,2,0,0%,0,0%,1,0,0%,0,0%
81,2025-08-25,A Slattery,3583,307,8.57%,964,26.90%,790,68,8.61%,238,30.13%,2153,183,8.50%,544,25.27%,118,11,9.32%,26,22.03%,522,45,8.62%,156,29.89%
82,2025-08-25,M Hurley,24,0,0%,5,20.83%,0,0,0%,0,0%,9,0,0%,0,0%,4,0,0%,0,0%,11,0,0%,5,45.45%
83,2025-08-25,Miss E Doyle,1820,155,8.52%,598,32.86%,52,2,3.85%,14,26.92%,407,35,8.60%,152,37.35%,357,37,10.36%,115,32.21%,1004,81,8.07%,317,31.57%
84,2025-08-25,A Maguire,251,26,10.36%,88,35.06%,5,1,20.00%,2,40.00%,53,5,9.43%,24,45.28%,68,8,11.76%,23,33.82%,125,12,9.60%,39,31.20%
85,2025-08-25,J F O'Shea,417,16,3.84%,57,13.67%,38,0,0%,4,10.53%,152,2,1.32%,19,12.50%,18,3,16.67%,5,27.78%,209,11,5.26%,29,13.88%
86,2025-08-25,P J Flynn,2514,198,7.88%,604,24.03%,493,54,10.95%,108,21.91%,1548,105,6.78%,366,23.64%,67,6,8.96%,18,26.87%,406,33,8.13%,112,27.59%
